Strike 	Dip
141.95	45.34
46.3	44.06
202.17	78.93
101.82	31.78
36.26	40.45
248.04	86.72
225.34	3.81
108.06	87.57
134.09	17.03
121.34	60.04
164.79	52.78
18.45	60.76
79.53	32.49
172.98	55.83
213.95	73
160.12	1.73
171.33	7.55
151.45	87.73
171.96	58.62
66.85	20.81
22	36.31
242.42	10.98
64.87	24.16
156.53	23.21
235.76	29.85
262.71	13.7
67.99	31.32
130	10.95
2.9	79.57
57.14	8.49
124.16	83.7
4.4	35.91
127.02	4.27
166.04	30.81
169.83	66.24
132.27	71.52
16.8	49.04
24.76	61.76
62.7	80.43
92.83	4.93
120.79	27.33
4.49	4.16
198.37	17.59
100.52	64.81
244.39	64.96
172.92	79
85.9	52.42
118.27	6.36
175.42	83.05
75.19	72.03
256.71	25.74
106.85	48.93
97.61	88.63
173.37	64.41
86	75.51
134.66	38.99
154.49	42.36
52.39	50.46
42.28	24.22
265.67	67.41
103.59	45.35
228.66	58.21
238.78	27.7
196.63	12.49
125.54	42.8
4.27	32.62
30.73	70.93
154.7	70.23
139.16	60.17
169.64	12.02
128.43	1.94
145.35	50.39
87.9	27.07
190.46	84.55
167.41	88.28
235.34	25.8
230.73	72.07
30.3	80.65
161.55	53.78
161.21	79.56
100.99	84.94
177.87	49.42
90.01	65.55
82.77	51.91
235.7	2.33
129.55	40.19
132.36	58.17
219.4	46.91
199.98	33.51
117.62	84.34
155.85	74.66
176.38	76.42
229.14	33.53
100.32	53.39
86.36	78.53
150.45	84.02
262.33	60.16
166.57	18.61
90.17	58.85
79.59	6.48
111.46	36.61
155.51	60.02
105.28	84.04
115.72	72.99
97.79	43.61
124.82	68.11
204.53	37.53
204.32	87.46
170.08	88.92
143.95	77.77
147.46	35
96.69	40.93
260.27	22.2
143.64	70.6
198.12	79.46
73.37	82.23
65.66	50.25
207.11	53.9
120.05	13.4
137.94	80.97
152.42	40.54
50.74	18.51
209.3	80.97
199.21	68.63
111.77	79.42
53.73	25.65
99.68	60.59
60.05	59.79
146.47	11.05
136.07	36.66
15.11	24.78
65.39	64.5
95.58	25.5
